"ode_id","ode_unit_price","ode_discount","ode_quantity","ode_ord_id","ode_pro_id"
"1","14.99",NULL,"1","5","10"
"2","14.90",NULL,"1","53","19"
"3","499.99",NULL,"1","53","22"
"4","9.90",NULL,"1","17","32"
"5","88.00",NULL,"1","72","12"
"6","288.32",NULL,"1","20","28"
"7","32.50",NULL,"1","56","29"
"8","88.00",NULL,"1","74","12"
"9","110.00","10.00","1","47","7"
"10","9.98",NULL,"1","16","24"
"11","157.00",NULL,"1","70","25"
"12","149.97",NULL,"1","37","30"
"13","49.00",NULL,"1","8","13"
"14","88.00",NULL,"1","32","14"
"15","245.00","10.00","1","7","31"
"16","110.00","10.00","1","75","7"
"17","245.00",NULL,"1","79","31"
"18","31.19",NULL,"1","29","18"
"19","149.97",NULL,"1","91","30"
"20","31.19",NULL,"1","54","18"
"21","88.00",NULL,"1","68","12"
"22","599.99",NULL,"1","35","21"
"23","49.00",NULL,"1","24","13"
"24","245.00",NULL,"1","78","31"
"25","299.40",NULL,"1","94","26"
"26","110.00","10.00","1","35","7"
"27","135.90",NULL,"1","77","11"
"28","12.00",NULL,"1","83","23"
"29","157.00",NULL,"1","81","25"
"30","299.40",NULL,"1","48","26"
"31","288.32",NULL,"1","95","28"
"32","110.00","10.00","1","75","7"
"33","49.00",NULL,"1","31","13"
"34","19.90",NULL,"1","97","16"
"35","49.00",NULL,"1","68","13"
"36","14.99",NULL,"1","47","10"
"37","245.00",NULL,"1","55","31"
"38","249.99",NULL,"1","63","8"
"39","49.00",NULL,"1","14","13"
"40","54.49",NULL,"1","40","15"
"41","49.00",NULL,"1","90","13"
"42","14.99",NULL,"1","63","10"
"43","245.00",NULL,"1","42","31"
"44","31.19",NULL,"1","66","18"
"45","89.00",NULL,"1","26","27"
"46","110.00","10.00","1","87","7"
"47","9.90",NULL,"1","11","32"
"48","249.99",NULL,"10","9","8"
"49","599.99",NULL,"1","93","21"
"50","19.90",NULL,"1","81","16"
"51","135.90",NULL,"1","47","11"
"52","157.00",NULL,"1","70","25"
"53","110.00","10.00","1","6","7"
"54","499.99",NULL,"1","61","22"
"55","32.50",NULL,"1","89","29"
"56","135.90",NULL,"1","67","11"
"57","49.00",NULL,"1","11","13"
"58","9.90",NULL,"1","96","32"
"59","157.00",NULL,"1","41","25"
"60","245.00",NULL,"1","60","31"
"61","19.90",NULL,"1","16","16"
"62","499.99",NULL,"1","8","22"
"63","249.99",NULL,"1","19","8"
"64","110.00","10.00","1","54","7"
"65","299.40",NULL,"1","62","26"
"66","135.90",NULL,"1","56","11"
"67","149.97",NULL,"1","52","30"
"68","245.00",NULL,"1","53","31"
"69","19.90",NULL,"1","52","16"
"70","9.98",NULL,"1","21","24"
"71","9.90",NULL,"1","23","32"
"72","14.99",NULL,"1","37","10"
"73","149.97",NULL,"1","27","30"
"74","32.50",NULL,"1","60","29"
"75","32.50",NULL,"1","40","29"
"76","14.90",NULL,"1","54","19"
"77","88.00",NULL,"1","25","14"
"78","88.00",NULL,"1","85","12"
"79","599.99",NULL,"1","51","21"
"80","599.99",NULL,"1","2","21"
"81","14.99",NULL,"1","97","10"
"82","9.90",NULL,"1","37","32"
"83","9.98",NULL,"1","47","24"
"84","14.90",NULL,"1","70","19"
"85","49.00",NULL,"1","43","13"
"86","31.19",NULL,"1","56","20"
"87","19.90",NULL,"1","72","16"
"88","245.00",NULL,"1","20","31"
"89","31.19",NULL,"1","4","20"
"90","54.49",NULL,"1","86","15"
"91","24.90",NULL,"1","14","17"
"92","249.99",NULL,"1","67","8"
"93","288.32",NULL,"1","6","28"
"94","110.00","10.00","1","58","7"
"95","110.00","20.00","2","12","7"
"96","88.00",NULL,"1","100","12"
"97","88.00",NULL,"1","48","12"
"98","245.00",NULL,"1","17","31"
"99","88.00",NULL,"1","39","12"
"100","149.97",NULL,"1","15","30"
